id;login;PASSWORD;first_name;last_name;email;activated;lang_key;created_by;biography;created_date
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;true;en;system;The system;2014-07-12 10:10:13
2;anonymousUser;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;true;en;system;;2014-07-13 10:10:13
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;true;en;system;The admin;2014-07-14 10:10:13
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;true;en;system;The user;2014-07-15 10:10:13
5;user001;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 001;Surname 001;user001@localhost;true;es;system;The user 001;2014-07-16 10:10:13
6;user002;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 002;Surname 002;user002@localhost;true;es;system;The user 002;2014-07-17 10:10:13
7;user003;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 003;Surname 003;user003@localhost;true;es;system;The user 003;2014-07-18 10:10:13
8;user004;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 004;Surname 004;user004@localhost;true;es;system;The user 004;2014-07-19 10:10:13
9;user005;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 005;Surname 005;user005@localhost;true;es;system;The user 005;2014-07-20 10:10:13
10;user006;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 006;Surname 006;user006@localhost;true;es;system;The user 006;2014-07-21 10:10:13
11;user007;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 007;Surname 007;user007@localhost;true;es;system;The user 007;2014-07-22 10:10:13
12;user008;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 008;Surname 008;user008@localhost;true;es;system;The user 008;2014-07-23 10:10:13
13;user009;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 009;Surname 009;user009@localhost;true;es;system;The user 009;2014-07-24 10:10:13
14;user010;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 010;Surname 010;user010@localhost;true;es;system;The user 010;2014-07-25 10:10:13
15;user011;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 011;Surname 011;user011@localhost;true;es;system;The user 011;2014-07-26 10:10:13
16;user012;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 012;Surname 012;user012@localhost;true;es;system;The user 012;2014-07-27 10:10:13
17;user013;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 013;Surname 013;user013@localhost;true;es;system;The user 013;2014-07-28 10:10:13
18;user014;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 014;Surname 014;user014@localhost;true;es;system;The user 014;2014-07-29 10:10:13
19;user015;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 015;Surname 015;user015@localhost;true;es;system;The user 015;2014-07-30 10:10:13
20;user016;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User 016;Surname 016;user016@localhost;true;es;system;The user 016;2014-07-31 10:10:13
